,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor,marketCap,enterpriseVal,peRatio,pbRatio,trailingPEG1Y
0,2017-05-04 00:00:00+00:00,115.83,116.8,114.14,116.8,1396410,112.4905342806,113.4325684535,110.8492582473,113.4325684535,1396410,0.0,1.0,10700267456.6472,11620697456.6472,-218.5471698113,4.9833453501,1.4061562089
1,2017-05-05 00:00:00+00:00,120.3,120.53,116.09,116.51,1358043,116.8316608301,117.0550297577,112.7430382857,113.1509293709,1358043,0.0,1.0,11113201891.0012,12033631891.0012,-226.9811320755,5.1756578228,1.4604212374
2,2017-05-08 00:00:00+00:00,121.91,122.34,119.32,119.89,987332,118.3952433234,118.8128461011,115.8799149647,116.4334814375,987332,0.0,1.0,11261932190.623,12182362190.623,-230.0188679245,5.2449247313,1.4799663595
3,2017-05-09 00:00:00+00:00,119.01,122.345,118.68,122.21,1434478,115.5788524971,118.8177019473,115.2583666444,118.6865940985,1434478,0.0,1.0,10994032893.1675,11914462893.1675,-224.5471698113,5.1201582501,1.44476086
4,2017-05-10 00:00:00+00:00,120.07,123.76,119.94,123.66,2199308,116.6082919025,120.1919064367,116.4820399,120.0947895117,2199308,0.0,1.0,11090453606.7993,12010883606.7993,-226.5471698113,5.1657625501,1.4576290771
5,2017-05-11 00:00:00+00:00,118.28,121.28,117.96,120.65,1141769,114.9475924843,117.8630708192,114.6366081285,117.2508203688,1141769,0.08,1.0,10932506778.5522,11852936778.5522,-223.1698113208,5.0887515152,1.435898786
6,2017-05-12 00:00:00+00:00,117.29,118.62,116.4,118.28,1107134,113.9854846337,115.2780133622,113.1205593944,114.9475924843,1107134,0.0,1.0,10841002029.5603,11761432029.5603,-221.3018867925,5.0461588199,1.4238803569
7,2017-05-15 00:00:00+00:00,117.19,120.01,116.96,120.0,1425197,113.8883020226,116.6288516574,113.6647820169,116.6191333963,1425197,0.0,1.0,10831759125.6216,11752189125.6216,-221.1132075472,5.0418565274,1.4226663741
8,2017-05-16 00:00:00+00:00,117.16,118.1,116.58,117.54,989805,113.8591472392,114.7726637842,113.2954880945,114.2284411616,989805,0.0,1.0,10828986254.4401,11749416254.4401,-221.0566037736,5.0405658397,1.4223021793
9,2017-05-17 00:00:00+00:00,116.15,117.19,115.25,116.19,1148451,112.8776028665,113.8883020226,112.002959366,112.9164759109,1148451,0.0,1.0,10735632924.6604,11656062924.6604,-219.1509433962,4.9971126859,1.4100409536
10,2017-05-18 00:00:00+00:00,115.84,117.38,114.92,115.8,1044290,112.5763367719,114.0729489838,111.6822567492,112.5374637274,1044290,0.0,1.0,10706979922.4508,11627409922.4508,-218.5660377359,4.9837755793,1.4062776071
11,2017-05-19 00:00:00+00:00,117.59,118.13,115.81,116.19,1375181,114.2770324672,114.8018185675,112.5471819885,112.9164759109,1375181,0.0,1.0,10868730741.3759,11789160741.3759,-221.8679245283,5.0590656973,1.4275223051
12,2017-05-22 00:00:00+00:00,115.95,118.77,115.88,118.5,1098195,112.6832376441,115.423787279,112.6152098163,115.1613942288,1098195,0.0,1.0,10717147116.7833,11637577116.7833,-218.7735849057,4.988508101,1.4076129882
13,2017-05-23 00:00:00+00:00,114.99,116.22,114.73,115.91,919340,111.750284577,112.9456306943,111.4976097879,112.6443645997,919340,0.0,1.0,10628415238.9729,11548845238.9729,-216.9622641509,4.9472060934,1.3959587538
14,2017-05-24 00:00:00+00:00,113.56,115.27,113.01,115.27,1295647,110.3605732373,112.0223958882,109.8260688759,112.0223958882,1295647,0.0,1.0,10496241712.6512,11416671712.6512,-214.2641509434,4.8856833113,1.3785988006
15,2017-05-25 00:00:00+00:00,110.98,115.44,110.449,113.38,975798,107.8532618693,112.1876063272,107.337222204,110.1856445372,975798,0.0,1.0,10257774791.0358,11178204791.0358,-209.3962264151,4.774684166,1.3472780459
16,2017-05-26 00:00:00+00:00,110.95,111.6408,110.07,110.91,708679,107.824107086,108.4954445639,106.9689001077,107.7852340415,708679,0.0,1.0,10255001919.8542,11175431919.8542,-209.3396226415,4.7733934783,1.3469138511
17,2017-05-30 00:00:00+00:00,107.68,110.0,107.38,109.74,1220449,104.6462357009,106.9008722799,104.3546878674,106.6481974909,1220449,0.0,1.0,9952758961.06271,10873188961.0627,-203.1698113208,4.632708515,1.3072166155
18,2017-05-31 00:00:00+00:00,107.56,107.98,106.035,106.65,1109788,104.5296165675,104.9377835344,103.0475817473,103.6452548059,1109788,0.0,1.0,9941667476.33644,10862097476.3364,-202.9433962264,4.6275457641,1.3057598362
19,2017-06-01 00:00:00+00:00,107.25,108.49,106.72,107.69,755525,104.2283504729,105.4334148513,103.7132826337,104.655953962,755525,0.0,1.0,9913014474.12685,10833444474.1269,-202.358490566,4.6142086575,1.3019964897
20,2017-06-02 00:00:00+00:00,104.58,107.24,104.34,106.72,879942,101.6335747548,104.2186322118,101.4003364881,103.7132826337,879942,0.0,1.0,9666228938.96676,10586658938.9668,-197.320754717,4.4993374489,1.2695831505
21,2017-06-05 00:00:00+00:00,102.71,104.3,102.25,103.49,1456829,99.8162599261,101.3614634436,99.3692199147,100.5742842932,1456829,0.0,1.0,9493386635.31528,10413816635.3153,-193.7924528302,4.41888458,1.2468816732
22,2017-06-06 00:00:00+00:00,103.94,103.98,102.15,102.39,1770745,101.0116060434,101.0504790879,99.2720373036,99.5052755704,1770745,0.0,1.0,9607074353.75983,10527504353.7598,-196.1132075472,4.4718027772,1.261813661
23,2017-06-07 00:00:00+00:00,99.83,103.8,98.77,102.79,1993555,97.0174007246,100.8755503878,95.9872650462,99.894006015,1993555,0.0,1.0,9227191001.88418,10147621001.8842,-188.358490566,4.2949785573,1.2119189703
24,2017-06-08 00:00:00+00:00,98.61,100.31,98.21,99.46,1503036,95.8317728684,97.4838772582,95.4430424237,96.6578250633,1503036,0.0,1.0,9114427573.83351,10034857573.8335,-186.0566037736,4.2424905894,1.1971083809
25,2017-06-09 00:00:00+00:00,99.89,100.91,98.2,98.74,1784028,97.0757102913,98.0669729251,95.4333241626,95.9581102629,1784028,0.0,1.0,9232736744.24733,10153166744.2473,-188.4716981132,4.2975599328,1.21264736
26,2017-06-12 00:00:00+00:00,100.18,102.24,99.37,100.72,1398408,97.3575398637,99.3595016536,96.5703607132,97.8823259639,1398408,0.0,1.0,9259541165.66921,10179971165.6692,-189.0188679245,4.3100365809,1.2161679099
27,2017-06-13 00:00:00+00:00,101.14,101.52,99.64,100.13,1223643,98.2904929308,98.6597868532,96.8327537634,97.3089485581,1223643,0.0,1.0,9348273043.47958,10268703043.4796,-190.8301886792,4.3513385885,1.2278221442
28,2017-06-14 00:00:00+00:00,97.51,100.36,97.07,100.36,1935014,94.7627641456,97.5324685637,94.3351606565,97.5324685637,1935014,0.0,1.0,9012755630.50913,9933185630.50913,-183.9811320755,4.1951653724,1.1837545707
29,2017-06-15 00:00:00+00:00,93.88,97.505,93.33,97.23,1503279,91.2350353603,94.757905015,90.7005309989,94.4906528343,1503279,0.0,1.0,8677238217.53868,9597668217.53868,-177.1320754717,4.0389921563,1.1396869972
30,2017-06-16 00:00:00+00:00,93.82,94.5,92.67,94.5,1948023,91.1767257936,91.8375675496,90.0591257653,91.8375675496,1948023,0.0,1.0,8671692475.17554,9592122475.17554,-177.0188679245,4.0364107808,1.1389586076
31,2017-06-19 00:00:00+00:00,93.45,94.28,92.58,93.9,1209130,90.8171501323,91.623765805,89.9716614152,91.2544718826,1209130,0.0,1.0,8637493730.60279,9557923730.60279,-176.320754717,4.0204922987,1.1344668714
32,2017-06-20 00:00:00+00:00,94.01,94.45,91.34,92.3,1845763,91.3613727549,91.788976244,88.7665970368,89.699550104,1845763,0.0,1.0,8689253992.65884,9609683992.65884,-177.3773584906,4.0445851365,1.1412651748
33,2017-06-21 00:00:00+00:00,92.32,94.49,91.2459,93.37,1985614,89.7189866262,91.8278492884,88.6751481997,90.7394040434,1985614,0.0,1.0,8533048916.09684,9453478916.09684,-174.1886792453,3.971876394,1.1207488665
34,2017-06-22 00:00:00+00:00,91.33,93.31,91.22,92.29,706606,88.7568787757,90.6810944767,88.6499779034,89.6898318428,706606,0.0,1.0,8441544167.1049,9361974167.1049,-172.320754717,3.9292836987,1.1087304373
35,2017-06-23 00:00:00+00:00,93.0,93.15,91.26,91.26,1622803,90.3798283821,90.5256022989,88.6888509479,88.6888509479,1622803,0.0,1.0,8595900662.87918,9516330662.87918,-175.4716981132,4.0011319827,1.1290039491
36,2017-06-26 00:00:00+00:00,93.1,94.79,92.111,93.1,1357469,90.4770109933,92.1193971219,89.5158749689,90.4770109933,1357469,0.0,1.0,8605143566.81777,9525573566.81777,-175.6603773585,4.0054342751,1.1302179318
37,2017-06-27 00:00:00+00:00,92.6,94.14,92.51,93.49,824781,89.9910979375,91.4877101494,89.9036335874,90.8560231768,824781,0.0,1.0,8558929047.12486,9479359047.12486,-174.7169811321,3.9839228129,1.1241480181
38,2017-06-28 00:00:00+00:00,93.32,94.18,92.29,92.6,871747,90.6908127378,91.5265831938,89.6898318428,89.9910979375,871747,0.0,1.0,8625477955.48264,9545907955.48264,-176.0754716981,4.0148993185,1.1328886939
39,2017-06-29 00:00:00+00:00,94.25,95.57,93.56,93.59,1116671,91.5946110217,92.877421489,90.9240510046,90.953205788,1116671,0.0,1.0,8711436962.11143,9631866962.11143,-177.8301886792,4.0549106384,1.1441787334
40,2017-06-30 00:00:00+00:00,94.01,95.19,92.86,94.75,1212599,91.3613727549,92.5081275666,90.2437727265,92.0805240775,1212599,0.0,1.0,8689253992.65884,9655853992.65884,33.575,3.8676941424,-0.2329076577
41,2017-07-03 00:00:00+00:00,96.84,97.33,94.3726,94.59,663844,94.1116406508,94.5878354455,91.7137569029,91.9250318996,663844,0.0,1.0,8950828174.12065,9917428174.12065,34.5857142857,3.9841240373,-0.2399189189
42,2017-07-05 00:00:00+00:00,94.25,96.13,93.96,95.9,1278257,91.5946110217,93.4216441115,91.3127814493,93.1981241058,1278257,0.0,1.0,8711436962.11143,9678036962.11143,33.6607142857,3.8775680558,-0.2335022523
