,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor,marketCap,enterpriseVal,peRatio,pbRatio,trailingPEG1Y
0,2017-05-04 00:00:00+00:00,116.85,119.68,116.18,119.35,2343486,114.0494770079,116.8116509054,113.3955347777,116.4895599562,2343486,0.0,1.0,22935554431.0418,33408854431.0418,47.3076923077,2.3654390519,0.2689068826
1,2017-05-05 00:00:00+00:00,116.54,117.46,115.75,117.46,1353636,113.7469067223,114.6448572473,112.9758405106,114.6448572473,1353636,0.0,1.0,22874707003.7963,33348007003.7963,47.1821862348,2.3591636038,0.2681934797
2,2017-05-08 00:00:00+00:00,116.91,117.21,116.03,116.61,1233047,114.1080389986,114.4008489524,113.2491298008,113.8152290448,1233047,0.0,1.0,22947331352.444,33420631352.444,47.3319838057,2.3666536547,0.2690449606
3,2017-05-09 00:00:00+00:00,118.66,118.84,116.8,116.85,1453353,115.8160970625,115.9917830348,114.0006753489,114.0494770079,1453353,0.0,1.0,23353624318.9201,33826924318.9201,48.04048583,2.4020795712,0.2730722352
4,2017-05-10 00:00:00+00:00,119.49,119.71,118.04,118.49,1349640,116.6262046014,116.8409319008,115.2109564913,115.650171422,1349640,0.0,1.0,23516977666.1702,33990277666.1702,48.3765182186,2.4188815773,0.2749823141
5,2017-05-11 00:00:00+00:00,121.02,121.16,118.64,119.83,2010652,118.1195353658,118.2561800109,115.7965763989,116.9580558823,2010652,0.0,1.0,23818098896.6433,34291398896.6433,48.995951417,2.44985395,0.2785033028
6,2017-05-12 00:00:00+00:00,121.26,122.93,120.55,120.86,2021467,118.3537833288,119.9837587383,117.6607997715,117.9633700571,2021467,0.0,1.0,23865333599.4627,34338633599.4627,49.0931174089,2.4547123614,0.2790556147
7,2017-05-15 00:00:00+00:00,122.33,123.12,120.1,120.98,2451062,119.3981388307,120.1692050424,117.2215848408,118.0804940386,2451062,0.0,1.0,24075921649.5322,34549221649.5322,49.5263157895,2.4763727789,0.2815180055
8,2017-05-16 00:00:00+00:00,119.78,121.7,118.4,120.15,3868318,116.9092542234,118.7832379277,115.5623284359,117.2703864997,3868318,0.0,1.0,23574052932.0767,34047352932.0767,48.4939271255,2.4247521577,0.275649691
9,2017-05-17 00:00:00+00:00,117.72,119.56,117.37,119.0,1766301,114.8986258739,116.6945269239,114.5570142611,116.1479483435,1766301,0.0,1.0,23168621732.8776,33641921732.8776,47.6599190283,2.3830507932,0.2709090134
10,2017-05-18 00:00:00+00:00,117.26,118.6,116.82,117.72,1089185,114.4496506114,115.7575350717,114.0201960125,114.8986258739,1089185,0.0,1.0,23078088552.4739,33551388552.4739,47.4736842105,2.373738838,0.2698504155
11,2017-05-19 00:00:00+00:00,117.67,117.95,116.22,117.57,992640,114.8498242149,115.1231135051,113.4345761049,114.752220897,992640,0.0,1.0,23158781169.7902,33632081169.7902,47.6396761134,2.3820386241,0.2707939484
12,2017-05-22 00:00:00+00:00,117.79,118.06,116.93,118.06,1016001,114.9669481965,115.2304771549,114.1275596622,115.2304771549,1016001,0.0,1.0,23182398521.1999,33655698521.1999,47.6882591093,2.3844678298,0.2710701044
13,2017-05-23 00:00:00+00:00,117.81,118.29,117.28,117.99,1257182,114.98646886,115.4549647861,114.469171275,115.1621548323,1257182,0.0,1.0,23186334746.4348,33659634746.4348,47.6963562753,2.3848726975,0.2711161304
14,2017-05-24 00:00:00+00:00,119.1,119.19,117.4,117.9,1164757,116.2455516614,116.3333946476,114.5862952565,115.0743118462,1164757,0.0,1.0,23440221274.0888,33913521274.0888,48.2186234818,2.4109866588,0.2740848072
15,2017-05-25 00:00:00+00:00,119.3,119.89,118.96,119.36,631236,116.4407582973,117.0166178731,116.1089070163,116.499320288,631236,0.0,1.0,23479583526.4382,33952883526.4382,48.2995951417,2.4150353349,0.2745450671
16,2017-05-26 00:00:00+00:00,119.23,119.65,118.91,119.45,648146,116.3724359747,116.7823699101,116.0601053573,116.5871632742,648146,0.0,1.0,23465806738.1159,33939106738.1159,48.2712550607,2.4136182983,0.2743839761
17,2017-05-30 00:00:00+00:00,118.43,119.05,118.02,118.62,520728,115.5916094312,116.1967500024,115.1914358277,115.7770557353,520728,0.0,1.0,23308357728.7182,33781657728.7182,47.9473684211,2.3974235936,0.2725429363
18,2017-05-31 00:00:00+00:00,119.21,119.41,117.6,118.43,812542,116.3529153111,116.548121947,114.7815018924,115.5916094312,812542,0.0,1.0,23461870512.8809,33935170512.8809,48.2631578947,2.4132134306,0.2743379501
19,2017-06-01 00:00:00+00:00,122.67,123.05,119.31,119.68,1626238,119.7299901117,120.1008827199,116.4505186291,116.8116509054,1626238,0.0,1.0,24142837478.5262,34616137478.5262,49.6639676113,2.4832555284,0.2823004475
20,2017-06-02 00:00:00+00:00,123.94,124.35,121.75,121.75,1392690,120.9695522495,121.369725853,118.8320395867,118.8320395867,1392690,0.0,1.0,24392787780.945,34866087780.945,50.1781376518,2.508964622,0.2852230982
21,2017-06-05 00:00:00+00:00,123.93,124.34,123.19,124.34,1027618,120.9597919177,121.3599655212,120.237527365,121.3599655212,1027618,0.0,1.0,24390819668.3277,34864119668.3277,50.1740890688,2.5087621882,0.2852000852
22,2017-06-06 00:00:00+00:00,124.17,124.445,123.5,123.5,1117498,121.1940398807,121.4624490051,120.5400976506,120.5400976506,1117498,0.0,1.0,24438054371.1469,34911354371.1469,50.2712550607,2.5136205996,0.2857523972
23,2017-06-07 00:00:00+00:00,124.35,124.73,123.9,124.5,835690,121.369725853,121.7406184612,120.9305109223,121.5161308299,835690,0.0,1.0,24473480398.2615,34946780398.2615,50.3441295547,2.5172644082,0.2861666312
