round_epochs,loss,mean_absolute_error,bound_accuracy,val_loss,val_mean_absolute_error,val_bound_accuracy,activation,batch_size,epochs,kernel_size,losses,optimizer
800,0.17593053877353668,0.029144086,0.19791603,0.1732531636953354,0.028896924,0.19530812,relu,128,800,3,binary_crossentropy,<tensorflow.python.keras.optimizer_v2.gradient_descent.SGD object at 0x14858ab10>
1200,0.17635580897331238,0.029448755,0.21805033,0.17364469170570374,0.029161515,0.21537115,selu,128,1200,5,binary_crossentropy,<tensorflow.python.keras.optimizer_v2.gradient_descent.SGD object at 0x14858ab10>
1200,0.003866985319527211,0.039353795,0.10520146,0.0037705551367253065,0.03937724,0.10430672,selu,128,1200,3,mean_squared_error,<tensorflow.python.keras.optimizer_v2.gradient_descent.SGD object at 0x148b6ff90>
800,0.17654352254337735,0.028793225,0.21428104,0.17381876707077026,0.028516715,0.2140056,selu,128,800,5,binary_crossentropy,<tensorflow.python.keras.optimizer_v2.gradient_descent.SGD object at 0x147fc7050>
1200,0.16598410849218015,0.02365732,0.31943136,0.1634521782398224,0.023062553,0.32668066,selu,128,1200,3,binary_crossentropy,Adam
1200,0.0035676281830226936,0.028974138,0.2190609,0.0034348105546087027,0.028674876,0.21880253,selu,128,1200,5,mean_squared_error,<tensorflow.python.keras.optimizer_v2.gradient_descent.SGD object at 0x14858ab10>
800,0.001814409248806812,0.024248935,0.31383038,0.0017278429586440325,0.023857689,0.30994397,relu,128,800,3,mean_squared_error,Adam
800,0.1761562372799273,0.028402459,0.21229272,0.17343047261238098,0.02812087,0.21228991,relu,128,800,3,binary_crossentropy,<tensorflow.python.keras.optimizer_v2.gradient_descent.SGD object at 0x147fc7050>
1200,0.003615632227242545,0.02877223,0.22951822,0.0034807524643838406,0.02847617,0.22759104,selu,128,1200,5,mean_squared_error,<tensorflow.python.keras.optimizer_v2.gradient_descent.SGD object at 0x147fc7050>
800,0.16521642329516234,0.02187014,0.34041494,0.16269493103027344,0.021949599,0.3195028,selu,128,800,5,binary_crossentropy,RMSProp
1200,0.0036145051699821595,0.028844466,0.22423282,0.003480000887066126,0.028538939,0.22405462,relu,128,1200,5,mean_squared_error,<tensorflow.python.keras.optimizer_v2.gradient_descent.SGD object at 0x147fc7050>
1200,0.0036303996453406636,0.02972474,0.2096287,0.003498618258163333,0.029480165,0.20658264,relu,128,1200,5,mean_squared_error,<tensorflow.python.keras.optimizer_v2.gradient_descent.SGD object at 0x14858ab10>
800,0.17656013248143373,0.03016407,0.18589154,0.17390498518943787,0.029939435,0.18284313,relu,128,800,5,binary_crossentropy,<tensorflow.python.keras.optimizer_v2.gradient_descent.SGD object at 0x148b6ff90>
1200,0.17662478972364354,0.029070918,0.21768598,0.17389805614948273,0.02878504,0.21705182,selu,128,1200,3,binary_crossentropy,<tensorflow.python.keras.optimizer_v2.gradient_descent.SGD object at 0x148b6ff90>
1200,0.0018361334378520647,0.023872856,0.29428694,0.001749181654304266,0.023415476,0.29765406,selu,128,1200,3,mean_squared_error,Adam
800,0.17728563889309212,0.029533537,0.21815678,0.17453882098197937,0.029247899,0.217507,selu,128,800,5,binary_crossentropy,<tensorflow.python.keras.optimizer_v2.gradient_descent.SGD object at 0x148b6ff90>
1200,0.17664577629831102,0.028888082,0.21739241,0.17391599714756012,0.028608566,0.2155112,selu,128,1200,5,binary_crossentropy,<tensorflow.python.keras.optimizer_v2.gradient_descent.SGD object at 0x147fc7050>
800,0.1765768646090119,0.028705748,0.21220131,0.17383956909179688,0.028431125,0.21257003,selu,128,800,3,binary_crossentropy,<tensorflow.python.keras.optimizer_v2.gradient_descent.SGD object at 0x148b6ff90>
800,0.17604622454554947,0.02822932,0.21335113,0.17331671714782715,0.027971461,0.21183473,relu,128,800,5,binary_crossentropy,RMSProp
800,0.17634193941398904,0.028530791,0.21254878,0.1736084222793579,0.028250938,0.21162465,selu,128,800,3,binary_crossentropy,<tensorflow.python.keras.optimizer_v2.gradient_descent.SGD object at 0x14858ab10>
1200,0.17649928000238208,0.028675716,0.21348898,0.17376422882080078,0.028393961,0.21376051,selu,128,1200,3,binary_crossentropy,<tensorflow.python.keras.optimizer_v2.gradient_descent.SGD object at 0x147fc7050>
800,0.16689653816046537,0.024099601,0.31871063,0.1643475592136383,0.02316374,0.34338236,relu,128,800,3,binary_crossentropy,RMSProp
1200,0.0010440590334366317,0.02246153,0.33854008,0.0010026213712990284,0.021965627,0.34457284,selu,128,1200,5,mean_squared_error,Adam
800,0.01736939933013033,0.12524195,0.0055465936,0.017415417358279228,0.12575367,0.005672269,relu,128,800,3,mean_squared_error,<tensorflow.python.keras.optimizer_v2.gradient_descent.SGD object at 0x148b6ff90>
800,0.003554783499351254,0.028970838,0.2157338,0.0034225545823574066,0.028683791,0.21516107,selu,128,800,5,mean_squared_error,<tensorflow.python.keras.optimizer_v2.gradient_descent.SGD object at 0x14858ab10>
800,0.0034386679323183166,0.028232649,0.2138993,0.003306314582005143,0.027990043,0.21183473,relu,128,800,3,mean_squared_error,RMSProp
800,0.16883421507146623,0.024445957,0.31848508,0.16621993482112885,0.023981633,0.32023808,relu,128,800,3,binary_crossentropy,Adam
800,0.0035333575387657794,0.03258526,0.15343778,0.003417010186240077,0.032450743,0.14992997,relu,128,800,3,mean_squared_error,<tensorflow.python.keras.optimizer_v2.gradient_descent.SGD object at 0x147fc7050>
