round_epochs,loss,mean_absolute_error,bound_accuracy,val_loss,val_mean_absolute_error,val_bound_accuracy,activation,batch_size,epochs,losses,optimizer
800,0.15499311619334752,0.0023632175,0.9693879,0.15370714664459229,0.00229536,0.9712596,relu,64,800,binary_crossentropy,RMSProp
400,0.4542832606368595,0.45428324,0.00024698031,0.4548017084598541,0.45480168,0.0003131524,relu,64,400,mean_absolute_error,<tensorflow.python.keras.optimizer_v2.gradient_descent.SGD object at 0x1555be2d0>
800,0.0020026540607903844,0.00200144,0.976484,0.0019046136876568198,0.001903396,0.9782185,elu,64,800,mean_absolute_error,RMSProp
800,0.21114536612122148,0.4574616,0.00024698031,0.21155723929405212,0.45798063,0.00027835768,elu,128,800,mean_squared_error,<tensorflow.python.keras.optimizer_v2.gradient_descent.SGD object at 0x1555be190>
1200,0.4560724741882748,0.45607242,0.00019805026,0.4566005766391754,0.45660052,0.00027835768,relu,128,1200,mean_absolute_error,<tensorflow.python.keras.optimizer_v2.gradient_descent.SGD object at 0x1555be190>
800,0.20969343770433355,0.4558758,0.00025422923,0.21010786294937134,0.45639974,0.00024356297,relu,64,800,mean_squared_error,<tensorflow.python.keras.optimizer_v2.gradient_descent.SGD object at 0x1555be190>
400,0.15565298740510589,0.0058515305,0.8487875,0.15431208908557892,0.0055809,0.86158663,relu,64,400,binary_crossentropy,Nadam
800,0.2093763419875392,0.45550984,0.0002951337,0.20980116724967957,0.4560479,0.00024356297,elu,64,800,mean_squared_error,<tensorflow.python.keras.optimizer_v2.gradient_descent.SGD object at 0x1555be190>
800,0.2109925807626159,0.4573011,0.00020783627,0.21141044795513153,0.4578273,0.00027835768,relu,128,800,mean_squared_error,<tensorflow.python.keras.optimizer_v2.gradient_descent.SGD object at 0x1555be190>
800,0.45592649910185074,0.45592645,0.00017604468,0.456452339887619,0.45645228,0.00020876827,relu,64,800,mean_absolute_error,<tensorflow.python.keras.optimizer_v2.gradient_descent.SGD object at 0x1555be190>
400,0.003903125830132652,0.0039014693,0.9223597,0.0036865610163658857,0.003684903,0.93242866,relu,64,400,mean_absolute_error,Adam
1200,0.45617448731704996,0.4561744,0.00018691801,0.4566940665245056,0.456694,0.00024356297,relu,64,1200,mean_absolute_error,<tensorflow.python.keras.optimizer_v2.gradient_descent.SGD object at 0x1555be210>
800,0.20417387463428355,0.44986868,0.00011184015,0.20459036529064178,0.4503967,0.00017397356,relu,64,800,mean_squared_error,<tensorflow.python.keras.optimizer_v2.gradient_descent.SGD object at 0x1555be2d0>
1200,0.002502829547005671,0.0025014076,0.9636151,0.002404819242656231,0.0024033855,0.9688587,relu,128,1200,mean_absolute_error,Nadam
